# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.091        0.000       55.262   267293.188
       0.094        0.000       56.754   267293.410
       0.097        0.000       59.223   267299.332
       0.100      632.900       61.816   267299.457
       0.103        0.000       61.816   267299.457
       0.106        0.000       61.816   267299.457
       0.109      319.800       61.816   267299.457
       0.113        0.000       61.816   267299.457
       0.116        0.000       61.816   267299.457
       0.119        0.000       61.816   267299.457
       0.122      320.400       61.816   267299.457
       0.125        0.000       61.816   267299.457
       0.128        0.000       61.816   267299.457
       0.131      320.700       61.816   267299.457
       0.135        0.000       61.816   267299.457
       0.138        0.000       61.816   267299.457
       0.141      311.800       61.816   267299.457
       0.144        0.000       61.816   267299.457
       0.147        0.000       61.816   267299.457
       0.150      316.100       61.816   267299.457
       0.154        0.000       61.816   267299.457
       0.157        0.000       61.816   267299.457
       0.160      266.200       61.816   267299.457
       0.164        0.000       61.816   267299.457
       0.167        0.000       61.816   267299.457
       0.170      314.800       61.816   267299.457
       0.174        0.000       61.816   267299.457
       0.177        0.000       61.816   267299.457
       0.180      314.800       61.816   267299.457
       0.183        0.000       61.816   267299.457
       0.187        0.000       61.816   267299.457
       0.190      316.400       61.816   267299.457
       0.193        0.000       61.816   267299.457
       0.196        0.000       61.816   267299.457
       0.200      268.300       61.816   267299.457
       0.203        0.000       61.816   267299.457
       0.206        0.000       61.816   267299.457
       0.210      310.600       61.941   267299.453
       0.213        0.000       61.941   267299.453
       0.216        0.000       61.941   267299.453
       0.220      318.300       61.941   267299.453
       0.223        0.000       61.941   267299.453
       0.226        0.000       61.941   267299.453
       0.229      311.900       61.941   267299.453
       0.232        0.000       61.941   267299.453
       0.235        0.000       61.941   267299.453
       0.239      315.400       61.941   267299.453
       0.242        0.000       61.941   267299.453
       0.245        0.000       61.941   267299.453
       0.248      317.800       61.941   267299.453
       0.251        0.000       61.941   267299.453
       0.254        0.000       61.941   267299.453
       0.257      316.900       61.941   267299.453
       0.261        0.000       61.941   267299.453
       0.264        0.000       61.941   267299.453
       0.267        0.000       61.941   267299.453
       0.270      311.800       61.941   267299.453
       0.273        0.000       61.941   267299.453
       0.277      314.300       61.941   267299.453
       0.280        0.000       61.941   267299.453
       0.284        0.000       61.941   267299.453
       0.287        0.000       61.941   267299.453
       0.290      319.800       61.941   267299.453
       0.293        0.000       61.941   267299.453
       0.296        0.000       61.941   267299.453
       0.299      318.200       61.941   267299.453
       0.303        0.000       61.941   267299.453
       0.306        0.000       61.941   267299.453
       0.309      320.800       61.941   267299.453
       0.312        0.000       61.941   267299.453
       0.315        0.000       61.941   267299.453
       0.318      316.100       61.941   267299.453
       0.322        0.000       61.941   267299.453
       0.325        0.000       61.941   267299.453
       0.328      318.300       61.941   267299.453
       0.331        0.000       61.941   267299.453
       0.334        0.000       61.941   267299.453
       0.337      294.800       61.941   267299.453
       0.341        0.000       61.941   267299.453
       0.344        0.000       61.941   267299.453
       0.347      291.900       61.941   267299.453
       0.350        0.000       61.941   267299.453
       0.354        0.000       61.941   267299.453
       0.357        0.000       61.941   267299.453
       0.360      318.300       61.941   267299.453
       0.363        0.000       61.941   267299.453
       0.366        0.000       61.941   267299.453
       0.369      317.100       61.941   267299.453
       0.372        0.000       61.941   267299.453
       0.376        0.000       61.941   267299.453
       0.379      319.200       61.941   267299.453
       0.382        0.000       61.941   267299.453
       0.385        0.000       61.941   267299.453
       0.388      313.700       61.941   267299.453
       0.391        0.000       61.941   267299.453
       0.394        0.000       61.941   267299.453
       0.398      314.300       61.941   267299.453
       0.401        0.000       61.941   267299.453
       0.404        0.000       61.941   267299.453
       0.407        0.000       61.941   267299.453
       0.410      314.300       61.941   267299.453
       0.413        0.000       61.941   267299.453
       0.417        0.000       61.941   267299.453
       0.420      314.500       61.941   267299.453
       0.423        0.000       61.941   267299.453
       0.426        0.000       61.941   267299.453
       0.430      266.500       61.941   267299.453
       0.433        0.000       61.941   267299.453
       0.437        0.000       61.941   267299.453
       0.440      313.600       61.941   267299.453
       0.443        0.000       61.941   267299.453
       0.446        0.000       61.941   267299.453
       0.449      313.500       61.941   267299.453
       0.452        0.000       61.941   267299.453
       0.456        0.000       61.941   267299.453
       0.459      316.600       61.941   267299.453
       0.462        0.000       61.941   267299.453
       0.465        0.000       61.941   267299.453
       0.468      308.900       61.941   267299.453
       0.472        0.000       61.941   267299.453
       0.475        0.000       61.941   267299.453
       0.478      312.900       61.941   267299.453
       0.481        0.000       61.941   267299.453
       0.484        0.000       61.941   267299.453
       0.488      311.400       61.941   267299.453
       0.491        0.000       61.941   267299.453
       0.494        0.000       61.941   267299.453
       0.497        0.000       61.941   267299.453
       0.500      314.900       61.941   267299.453
       0.503        0.000       61.941   267299.453
       0.507        0.000       61.941   267299.453
       0.510      314.300       61.941   267299.453
       0.513        0.000       61.941   267299.453
       0.516        0.000       61.941   267299.453
       0.519      318.500       61.941   267299.453
       0.523        0.000       61.941   267299.453
       0.526        0.000       61.941   267299.453
       0.529      321.100       61.941   267299.453
       0.532        0.000       61.941   267299.453
       0.535        0.000       61.941   267299.453
       0.538      314.500       61.941   267299.453
       0.541        0.000       61.941   267299.453
       0.545        0.000       61.941   267299.453
       0.548      320.600       61.941   267299.453
       0.551        0.000       61.941   267299.453
       0.554        0.000       61.941   267299.453
       0.557        0.000       61.941   267299.453
       0.560      317.900       61.941   267299.453
       0.563        0.000       61.941   267299.453
       0.566        0.000       61.941   267299.453
       0.570      316.000       61.941   267299.453
       0.573        0.000       62.223   267299.453
       0.576        0.000       62.727   267299.922
       0.579      316.900       62.910   267299.922
       0.582        0.000       63.035   267299.922
       0.585        0.000       63.160   267299.922
       0.589      313.100       63.410   267299.934
       0.592        0.000       63.535   267299.926
       0.595        0.000       63.535   267299.926
       0.598      301.700       63.535   267299.926
       0.601        0.000       63.535   267299.926
       0.605        0.000       63.535   267299.926
       0.608        0.000       63.535   267299.926
       0.611      317.200       63.535   267299.926
       0.614        0.000       63.535   267299.926
       0.617        0.000       63.785   267300.059
       0.620      309.500       63.785   267300.059
       0.624        0.000       63.785   267300.059
       0.627        0.000       63.785   267300.059
       0.630      308.200       63.785   267300.059
       0.633        0.000       63.910   267300.062
       0.636        0.000       64.035   267300.055
       0.640      311.400       64.035   267300.055
       0.643        0.000       64.035   267300.055
       0.646        0.000       64.035   267300.055
       0.649        0.000       64.285   267300.051
       0.652      262.100       65.777   267685.512
       0.656        0.000       66.457   267765.535
       0.660      627.400       66.887   267766.348
       0.663        0.000       70.039   267772.566
       0.666      315.600       71.496   267773.602
       0.669      209.100       71.879   267933.645
       0.674        0.000       74.555   267941.707
       0.678      293.200       75.555   267941.691
       0.681        0.000      148.934   535875.211
       0.684      300.400       77.707   267943.031
       0.688        0.000       78.566   268007.148
       0.692      389.500       79.082   268007.152
       0.697      322.900       80.566   268167.184
       0.703      317.900       81.680   268247.469
       0.709      162.600       83.117   268248.691
       0.716      321.500       83.930   268249.145
       0.722      192.400       84.305   268249.137
       0.727        0.000       84.488   268249.156
       0.730      306.800       85.840   268250.836
       0.733      620.400       87.344   268251.625
       0.737        0.000       87.719   268251.621
       0.741      201.300       88.344   268251.621
       0.746      310.600       88.469   268251.613
       0.749        0.000       89.277   268251.613
       0.753      174.300       90.973   268253.336
       0.759      159.200       92.113   268253.340
       0.765      175.700       93.738   268253.344
       0.771      308.200       95.168   268333.355
       0.774        0.000       96.098   268333.398
       0.777        0.000       96.867   268333.395
       0.780      310.800       97.742   268333.395
       0.784        0.000       98.242   268333.395
       0.787      302.400       98.492   268333.398
       0.790        0.000       99.688   268334.504
       0.793      312.400      100.797   268335.789
       0.797        0.000      100.484   268334.504
       0.800        0.000      100.609   268334.500
       0.803      308.100      100.734   268334.500
       0.806        0.000      100.984   268334.496
       0.810        0.000      101.266   268334.613
       0.813        0.000      102.035   268334.609
       0.816      312.500      102.285   268334.609
