# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
      51.741      340.900     1989.168  3225861.527
      51.774      368.000     1989.918  3225861.535
      51.795      349.300     1991.293  3225861.535
      51.826      308.000     1992.793  3225861.527
      51.853      358.600     1993.793  3225861.523
      51.878      335.000     1995.293  3225861.520
      51.907      332.500     1997.668  3225861.531
      51.932      311.100     2000.543  3225861.656
      51.975      304.600     2002.168  3225861.656
      51.997      392.000     2003.918  3225861.660
      52.027      376.500     2006.918  3225861.656
      52.052      322.000     2009.668  3225861.656
      52.086      400.600     2013.168  3225861.664
      52.123      296.800     2018.051  3225862.180
      52.163      431.900     2020.551  3225862.188
      52.191      305.100     2022.676  3225862.191
      52.218      324.000     2025.430  3225862.211
      52.247      353.800     2027.555  3225862.184
      52.273      345.300     2029.430  3225862.180
      52.293      382.200     1828.641  2957323.418
      52.319      351.600     1830.266  2957323.734
      52.345      363.200     1832.766  2957323.750
      52.370      323.800     1834.016  2957323.738
      52.394      307.200     1851.098  3224470.277
      52.424      410.400     1855.496  3224810.430
      52.470      310.800     1878.621  3225011.547
      52.513      319.800     1881.457  3225075.746
      52.550      394.700     1887.094  3225075.945
      52.590      352.400     1890.934  3225078.715
      52.629      436.800     1893.613  3225078.719
      52.653      304.700     1902.562  3225090.777
      52.680      353.800     1907.023  3225092.969
      52.703      309.200     1910.773  3225095.043
      52.729      205.600     1912.648  3225096.121
      52.741      416.800     1913.457  3225096.102
      52.753      175.200     1913.957  3225096.090
      52.765      413.100     1914.582  3225096.105
      52.777      322.700     1915.711  3225096.379
      52.795      300.700     1916.219  3225096.371
      52.812      289.000     1917.094  3225096.379
      52.826      284.300     1918.344  3225096.352
      52.851      365.400     1919.469  3225096.379
      52.881      258.600     1919.969  3225096.375
      52.893      446.800     1920.469  3225096.363
      52.911      192.100     1920.844  3225096.398
      52.927      365.100     1921.527  3225096.375
      52.947      236.600     1922.734  3225096.715
      52.959      347.300     1927.680  3225102.547
      52.976      381.300     1931.969  3225110.918
      52.999      317.100     1933.719  3225190.945
      53.037      385.200     1934.719  3225190.945
      53.058      256.300     1936.387  3225271.121
      53.089      393.300     1942.281  3225655.633
      53.138      319.600     1944.281  3225655.637
      53.163      254.100     1944.781  3225655.645
      53.174      332.400     1945.281  3225655.633
      53.186      332.000     1946.406  3225655.637
      53.208      310.500     1947.406  3225655.645
      53.230      407.100     1948.656  3225735.641
      53.262      308.600     1949.781  3225735.656
      53.275      342.000     1950.906  3225735.652
      53.287      313.500     1951.531  3225735.660
      53.299      331.100     1952.031  3225735.652
      53.311      314.600     1952.531  3225735.656
      53.324      312.600     1953.281  3225735.648
      53.343      346.100     1955.031  3225735.797
      53.361      349.000     1957.781  3225735.789
      53.382      337.500     1960.156  3225735.918
      53.404      244.600     1961.156  3225735.922
      53.417      332.300     1962.781  3225735.918
      53.429      337.900     1964.656  3225735.914
      53.449      363.200     1967.781  3225736.195
      53.483      327.900     1971.781  3225737.371
      53.504      273.000     1972.656  3225737.371
      53.519      318.900     1973.531  3225737.367
      53.537      418.600     1974.906  3225737.527
      53.554      276.500     1975.656  3225737.523
      53.569      337.800     1977.781  3225737.520
      53.598      408.700     1978.785  3225737.520
      53.618      343.100     1980.035  3225737.520
      53.644      300.400     1981.301  3225737.531
      53.664      166.600     1982.176  3225737.539
      53.676      350.300     1984.051  3225737.547
      53.699      414.000     1985.227  3225737.551
      53.726      395.400     1986.602  3225737.547
      53.748      309.000     1988.680  3225737.746
      53.771      215.000     1989.555  3225737.754
      53.785      247.700     1990.180  3225737.762
      53.797      393.100     1990.805  3225737.758
      53.815      379.300     1992.055  3225737.762
      53.838      377.900     1993.555  3225721.734
      53.864      339.600     1996.805  3225721.730
      53.902      340.000     2000.180  3225721.734
      53.937      343.800     2001.930  3225721.707
      53.975      423.600     2006.305  3225721.840
      54.027      359.100     2010.512  3225722.820
      54.068      298.300     2014.043  3225722.863
      54.113      428.900     2015.043  3225722.867
      54.132      198.700     2015.418  3225729.121
      54.147      190.200     2016.297  3225729.125
      54.157      415.600     2024.805  3225729.309
      54.178      359.900     2025.805  3225729.316
      54.224      347.500     2027.055  3225729.328
      54.268      387.700     2029.059  3225729.320
      54.314      352.900     2030.434  3225729.312
      54.354      382.600     1808.410  2957103.297
      54.391      415.900     1808.910  2957103.301
      54.417      355.700     1809.160  2957103.305
      54.454      308.800     1809.410  2957103.270
      54.500      335.300     1824.191  3224089.633
      54.542      356.800     1825.191  3224089.770
      54.575      392.700     1833.031  3224178.504
