# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.754      164.300      238.652   803916.863
       0.760      637.900      239.652   804076.898
       0.766      165.500      241.355   804159.762
       0.772      236.300      245.434   804164.117
       0.781      264.700      247.965   804165.602
       0.789      375.100      250.016   804246.082
       0.797        0.000      253.750   804254.102
       0.803      329.400      255.305   804254.242
       0.809      366.800      258.254   804256.699
       0.814      321.400      259.496   804257.164
       0.820        0.000      260.180   804273.164
       0.826      434.900      263.316   804344.859
       0.834      138.700      265.812   804345.090
       0.841      290.200      266.371   804345.094
       0.847      316.400      267.270   804345.203
       0.854      315.000      268.332   804345.203
       0.860        0.000      268.332   804345.203
       0.864      253.800      271.664   804344.418
       0.868      172.200      272.762   804344.418
       0.874      483.300      274.094   804344.848
       0.880      463.800      274.520   804344.844
       0.886      154.200      276.551   804344.953
       0.893      475.400      279.301   804344.945
       0.899        0.000      282.176   804360.953
       0.905      195.900      284.566   804425.305
       0.910      342.700      286.434   804425.387
       0.916      165.100      287.434   804425.391
       0.922      171.500      289.309   804425.387
       0.928      173.200      290.934   804425.387
       0.934      325.800      293.375   804426.090
       0.940      305.300      296.137   804426.793
       0.946        0.000      298.012   804426.793
       0.952      169.200      299.762   804426.793
       0.958      159.600      301.762   804426.855
       0.965      157.300      303.637   804426.918
       0.971      500.000      305.262   804426.918
       0.977      165.200      306.387   804426.922
       0.983      162.300      307.566   804426.918
       0.989      157.500      307.941   804426.922
       0.996      162.400      308.691   804426.914
       1.002        0.000      309.566   804426.914
       1.007      338.800      309.941   804426.922
       1.013      316.800      310.566   804426.922
       1.020        0.000      311.375   804426.941
       1.026      461.200      313.000   804426.934
       1.033        0.000      313.875   804426.938
       1.039      450.800      314.750   804426.941
       1.046      160.400      315.875   804426.957
       1.052      160.300      316.500   804426.949
       1.058      151.800      316.625   804426.945
       1.065      299.900      319.133   804426.961
       1.072      150.900      320.797   804426.199
       1.078      167.300      321.922   804426.195
       1.084      288.300      322.797   804426.191
       1.091      155.400      323.172   804426.195
       1.098      308.300      323.422   804426.195
       1.104      158.100      324.047   804426.199
       1.111      324.200      324.422   804426.195
       1.117      185.700      326.805   804427.621
       1.122      407.400      327.055   804427.621
       1.127      204.500      327.180   804427.621
       1.132      437.200      327.180   804427.621
       1.136      218.200      327.434   804427.625
       1.141      384.100      330.898   804426.836
       1.146      156.200      331.273   804426.840
       1.153      155.600      331.523   804426.844
       1.159      331.400      331.648   804426.836
       1.165        0.000      332.613   804427.078
       1.171      331.500      332.738   804427.082
       1.177      157.100      335.137   804429.777
       1.183      307.200      336.543   804432.230
       1.190      350.300      337.539   804432.227
       1.195      215.300      338.508   804513.664
       1.200        0.000      339.094   804513.664
       1.204      198.700      339.094   804513.660
       1.209      223.000      339.395   804513.660
       1.213      535.000      339.395   804513.656
       1.217        0.000      339.395   804513.656
       1.221      297.100      340.359   804514.094
       1.224      298.300      343.254   804516.355
       1.228      226.300      344.379   804516.352
       1.232      517.700      345.504   804516.352
       1.236        0.000      346.406   804516.496
       1.239      296.600      347.281   804516.496
       1.243        0.000      348.781   804516.492
       1.246      432.500      349.668   804516.883
       1.251      163.900      349.918   804516.875
       1.257        0.000      349.918   804516.871
       1.261        0.000      351.406   804519.320
       1.264      257.200      351.895   804519.320
       1.268        0.000      352.203   804519.320
       1.272        0.000      352.203   804519.320
       1.276      300.300      352.203   804519.320
       1.279        0.000      352.578   804519.320
       1.282        0.000      354.078   804519.320
       1.286      294.600      355.578   804519.320
       1.289        0.000      356.453   804519.320
       1.293        0.000      358.453   804519.320
       1.296        0.000      359.078   804519.332
       1.299      238.100      359.340   804519.703
       1.304      266.000      359.340   804519.711
       1.307        0.000      359.340   804519.711
       1.311      203.000      359.465   804519.703
       1.316      483.000      359.898   804519.680
       1.322      324.700      360.977   804519.648
