# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.266      316.200       63.641   267300.008
       0.269        0.000       63.641   267300.008
       0.272        0.000       63.641   267300.008
       0.275      318.300       63.766   267300.168
       0.279        0.000       63.891   267300.172
       0.282        0.000       63.891   267300.172
       0.285        0.000       63.891   267300.172
       0.288      321.000       63.891   267300.172
       0.291        0.000       63.891   267300.172
       0.294        0.000       64.016   267300.176
       0.297      316.600       64.266   267300.168
       0.301        0.000       64.266   267300.168
       0.304        0.000       64.266   267300.168
       0.307      318.600       64.266   267300.168
       0.310        0.000       64.391   267300.164
       0.313      492.200       66.008   267765.645
       0.317        0.000       66.562   267765.648
       0.320      317.800       67.418   267766.465
       0.324        0.000       70.578   267772.684
       0.327      309.300       71.734   267773.719
       0.330      196.000       72.688   267934.133
       0.335      302.300       74.660   267941.805
       0.338      289.200       75.961   267942.066
       0.342        0.000       77.676   268007.094
       0.346      311.900       78.176   268007.094
       0.349        0.000       78.734   268007.094
       0.352      231.900       79.395   268007.148
       0.356      172.100       80.918   268087.410
       0.362      528.500       82.496   268168.656
       0.368      177.000       83.164   268168.660
       0.373      169.100       83.539   268168.637
       0.379      193.100       83.789   268168.641
       0.385      343.700       86.824   268171.562
       0.390      172.200       87.508   268171.578
       0.396      177.800       87.887   268171.574
       0.402        0.000       88.262   268171.582
       0.406      186.900       88.512   268171.578
       0.412      164.100       89.570   268171.582
       0.418        0.000       90.633   268173.293
       0.421      311.600       90.883   268173.293
       0.425        0.000       91.008   268173.297
       0.428      637.500       91.531   268173.301
       0.431        0.000       92.531   268173.301
       0.434        0.000       93.531   268173.301
       0.437      315.500       93.781   268173.301
       0.440        0.000       95.211   268253.316
       0.444        0.000       96.035   268253.359
       0.447        0.000       96.660   268253.359
       0.450      316.500       96.910   268253.363
       0.453        0.000       97.195   268253.367
       0.456        0.000       98.289   268254.469
       0.459        0.000       98.840   268254.465
       0.462      315.300       98.965   268254.461
       0.466        0.000       98.965   268254.465
       0.469        0.000       99.090   268254.465
       0.472      317.200       99.648   268254.574
       0.475        0.000       99.918   268254.570
       0.478        0.000      100.543   268254.570
       0.482        0.000      100.793   268254.570
       0.485      313.000      101.043   268254.566
       0.488        0.000      101.168   268254.574
       0.491      312.700      101.418   268254.574
       0.494        0.000      101.668   268254.574
       0.498      311.800      101.668   268254.566
       0.501        0.000      101.926   268254.574
       0.504        0.000      102.051   268254.582
       0.507      316.200      102.051   268254.578
       0.510        0.000      102.051   268254.578
       0.513        0.000      102.551   268254.578
       0.517      310.000      102.926   268254.578
       0.520        0.000      103.051   268254.582
       0.523        0.000      103.301   268254.574
       0.526        0.000      103.801   268254.578
       0.529      312.300      103.926   268334.598
       0.533        0.000      104.301   268414.617
       0.537      305.600      104.426   268414.617
       0.540        0.000      104.676   268414.621
       0.543        0.000      106.082   268417.078
       0.546        0.000      107.215   268417.777
       0.549      313.700      109.195   268420.238
       0.553        0.000      109.727   268420.234
       0.556      313.700      109.852   268420.234
       0.559        0.000      109.852   268420.230
       0.562      311.700      109.977   268420.234
       0.565        0.000      110.102   268420.238
       0.569      232.700      110.477   268420.234
       0.573        0.000      110.852   268420.234
       0.576      346.300      111.414   268500.262
       0.582      170.500      112.164   268500.254
       0.588      171.400      112.914   268660.340
       0.594      172.900      131.270   270803.047
       0.600      321.200      143.797   275602.680
       0.606        0.000      155.879  1069616.316
       0.612      360.000      157.184  1069616.316
       0.618      365.100      157.559  1069616.316
       0.623      330.200      160.945  1069704.465
       0.629        0.000      167.875  1069792.316
       0.635      480.300      175.613  1069881.598
       0.642      161.500      182.527  1069888.395
       0.648      329.600      195.383  1069939.027
       0.654      344.400      200.996  1069939.289
       0.660      314.000      203.816  1069974.070
       0.666      319.200      210.637  1070009.570
       0.672      325.700      213.559  1070012.641
       0.678      302.800      217.301  1070014.844
       0.685      150.500      219.883  1070032.059
       0.692      151.100      221.355  1070113.094
       0.698      760.900      224.016  1070177.492
       0.705        0.000      226.898  1070193.906
       0.711      309.000      230.230  1070259.902
       0.718      168.700      231.676  1070259.398
       0.723      469.300      234.027  1070259.793
       0.730        0.000      237.051  1070261.141
       0.736      554.700      238.898  1070261.137
       0.741      377.800      240.395  1070261.703
       0.746      400.100      241.449  1070262.020
       0.751      208.100      242.910  1070262.152
       0.756      183.400      243.590  1070261.648
       0.761      341.500      245.449  1070261.777
       0.767      301.200      248.652  1070342.703
       0.774      304.800      250.984  1070422.723
       0.781        0.000      255.117  1070425.434
       0.787      615.200      257.469  1070426.855
       0.794        0.000      258.723  1070569.852
       0.800      596.500      260.227  1070649.871
       0.807      149.300      263.766  1070811.746
       0.814      441.500      268.590  1071054.641
       0.821      307.100      272.113  1071136.730
       0.827      153.100      275.238  1071347.941
       0.834      439.100      279.047  1071509.793
       0.843      411.200      283.164  1071670.332
       0.857      228.300      289.840  1071774.277
       0.865      156.200      292.609  1071921.152
       0.871      288.600      297.293  1072002.668
       0.880      318.000      300.902  1072005.969
       0.891      450.200      305.316  1072095.172
       0.898      302.600      306.629  1072095.406
       0.904      328.200      307.980  1072095.410
       0.910      314.700      309.289  1072095.410
       0.917      299.400      311.020  1072095.875
       0.923      347.100      313.977  1072183.566
       0.932      152.400      316.848  1072183.898
       0.939      462.400      318.992  1072183.910
       0.945      156.900      320.230  1072183.910
       0.951      379.800      320.355  1072183.914
       0.957      313.000      321.480  1072183.906
       0.963      158.000      323.176  1072184.215
       0.969      302.300      324.051  1072184.211
       0.976      460.200      325.152  1072184.207
       0.983        0.000      326.969  1072184.312
       0.989      458.000      328.266  1072184.328
       0.995      468.200      329.141  1072184.328
       1.002      467.400      329.766  1072184.340
       1.008      153.300      330.516  1072184.344
       1.015      308.000      331.016  1072184.348
       1.021      590.600      331.699  1072184.340
       1.028        0.000      332.449  1072184.336
       1.035      323.200      333.074  1072264.355
       1.041      308.100      333.949  1072264.352
       1.047      154.700      334.699  1072264.352
       1.054      305.700      336.406  1072264.777
       1.061      153.400      337.738  1072264.871
       1.067      469.300      338.863  1072264.875
       1.073      154.400      339.488  1072264.883
       1.080      450.500      340.238  1072264.883
       1.087      155.400      341.512  1072264.883
       1.093      300.700      342.762  1072264.883
       1.100      311.400      344.387  1072264.887
       1.106        0.000      345.188  1072264.883
       1.113      732.200      346.195  1072264.895
       1.120      146.300      347.078  1072264.906
       1.127      441.700      348.344  1072264.902
       1.133      441.000      350.219  1072264.902
       1.140      305.900      351.344  1072264.910
       1.147      316.900      352.719  1072264.910
       1.153        0.000      354.094  1072344.930
       1.159      317.900      354.969  1072344.930
       1.165      517.100      355.594  1072344.930
       1.171        0.000      355.594  1072344.926
       1.176        0.000      355.594  1072344.926
       1.179      534.000      358.832  1072344.145
       1.183      324.800      359.496  1072344.465
       1.189      151.800      360.559  1072344.559
       1.196      307.100      361.059  1072344.570
       1.202      303.400      362.434  1072344.566
       1.209      319.800      364.059  1072344.562
       1.215      267.600      364.684  1072424.578
       1.223      292.300      365.434  1072424.586
       1.230      333.600      367.309  1072424.586
       1.239      239.000      369.309  1072424.582
       1.247      166.100      370.066  1072424.602
       1.253      447.600      371.457  1072424.605
       1.260      514.100      372.207  1072424.605
       1.266      154.200      373.707  1072424.609
       1.272      347.600      375.207  1072424.613
       1.278      381.800      376.332  1072424.609
       1.283      197.800      376.832  1072424.605
       1.288      203.000      377.207  1072424.605
       1.293      393.300      379.621  1072424.609
       1.298      184.100      381.629  1072424.609
       1.303      283.700      381.629  1072424.609
       1.307        0.000      381.629  1072424.609
       1.312      166.400      381.754  1072424.617
       1.318        0.000      381.754  1072424.617
       1.325      165.600      382.004  1072424.613
       1.331      148.300      382.254  1072424.625
       1.338      443.300      382.504  1072424.613
       1.344      455.800      383.727  1072425.133
       1.351      480.300      390.547  1072432.898
       1.357      312.800      392.879  1072434.891
       1.364      319.700      393.516  1072434.883
       1.370      331.400      394.727  1072437.406
       1.376      165.900      395.613  1072437.426
       1.382      296.100      396.012  1072437.438
       1.389      405.500      399.434  1072442.340
       1.393      197.700      400.332  1072442.336
       1.399      284.100      400.707  1072570.887
       1.406      374.500      400.707  1072635.168
       1.411      267.900      400.832  1072635.156
       1.418      346.700      401.957  1072795.195
       1.430      245.900      404.141  1072795.516
       1.442      357.300      407.270  1072795.516
       1.456      355.300      408.688  1072795.590
       1.467      580.800      413.402  1072795.590
       1.474      287.400      414.527  1072795.586
       1.481      178.800      415.527  1072795.594
       1.487      573.100      416.027  1072795.652
       1.492        0.000      416.027  1072795.656
       1.497      421.400      416.027  1072795.656
       1.502      178.800      419.301  1072794.867
       1.507      461.700      419.426  1072794.871
       1.514      148.600      419.551  1072794.934
       1.521      296.600      419.551  1072794.938
       1.527      456.100      419.676  1072794.934
       1.534      159.500      419.676  1072794.934
       1.540      312.000      419.676  1072794.934
       1.547      300.300      420.176  1072794.938
       1.553      147.100      421.051  1072794.938
       1.560      300.500      422.551  1072794.934
       1.567      480.800      423.551  1072794.938
       1.573      296.200      424.426  1072794.945
       1.580      290.100      425.051  1072794.941
       1.587      299.200      426.055  1072794.934
       1.593      166.100      426.305  1072810.941
       1.599      476.500      426.930  1072874.961
       1.608      373.400      427.555  1072874.965
       1.613        0.000      428.180  1072874.965
       1.619      548.800      428.680  1072874.969
       1.624      174.500      429.656  1072874.965
       1.630      202.800      429.656  1072874.965
       1.635      213.800      429.656  1072874.961
       1.639      206.200      430.086  1072874.965
       1.644        0.000      430.086  1072874.965
       1.649      194.700      430.211  1072874.965
       1.655      198.500      430.586  1072874.965
       1.660      180.900      430.711  1072874.965
       1.665      249.600      427.855  1072954.977
       1.673      480.300      428.105  1073115.020
       1.682      169.900      428.105  1073115.016
       1.687      540.700      428.480  1073115.016
       1.693      173.300      428.480  1073115.012
       1.699      663.900      428.480  1073115.012
       1.705        0.000      428.480  1073115.012
       1.710      331.600      428.480  1073115.012
       1.716      401.200      428.480  1073115.012
       1.721        0.000      429.105  1073115.012
       1.726      213.400      429.855  1073115.012
       1.731      407.500      430.355  1073115.012
       1.736      199.300      430.730  1073115.012
       1.741      377.600      435.121  1073115.012
       1.746      430.700      434.840  1073194.250
       1.753      293.500      435.340  1073210.250
       1.760      343.200      435.715  1073274.266
       1.769      289.100      436.465  1073354.281
       1.776      127.600      437.340  1073354.277
       1.783      292.000      438.090  1073354.277
       1.790      414.500      438.965  1073354.281
       1.797      215.600      440.590  1073354.277
       1.807      430.600      442.840  1073354.281
       1.821      182.900      443.215  1073354.281
       1.826      333.800      443.590  1073434.301
