# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
      26.367      317.500     1217.129  1612047.094
      26.386      368.200     1217.129  1612047.105
      26.402      295.200     1217.129  1612047.109
      26.419      424.300     1217.254  1612047.109
      26.432      305.800     1217.504  1612047.117
      26.449      370.100     1217.629  1612047.109
      26.466      292.800     1217.629  1612047.098
      26.482      363.000     1217.754  1612047.102
      26.496      428.400     1218.004  1612047.125
      26.517      198.900     1218.004  1612047.102
      26.533      388.900     1218.254  1612047.102
      26.547      331.300     1218.379  1612047.113
      26.565      355.700     1218.504  1612047.102
      26.587      301.100     1219.254  1612047.121
      26.614      394.600     1220.379  1612047.098
      26.632      239.100     1220.879  1612047.098
      26.644      489.800     1221.758  1612047.117
      26.661      175.600     1222.633  1612047.121
      26.678      360.200     1223.633  1612047.137
      26.694      290.100     1224.258  1612047.121
      26.705      268.800     1224.383  1612047.113
      26.712      317.700     1225.633  1612047.117
      26.737      346.600     1226.633  1612047.121
      26.755      333.100     1227.883  1612047.105
      26.780      374.200     1228.383  1612047.109
      26.792      407.100     1228.508  1612047.113
      26.799      149.000     1228.633  1612047.117
      26.808      338.900     1229.633  1612047.121
      26.829      385.200     1230.383  1612047.137
      26.844      378.200     1231.383  1612047.117
      26.857      226.400     1231.883  1612047.125
      26.873      385.100     1232.633  1612047.129
      26.885      307.900     1233.133  1612047.117
      26.899      309.700     1234.258  1612047.109
      26.915      398.100     1235.449  1612047.125
      26.930      306.900     1236.074  1612047.121
      26.943      378.600     1236.574  1612047.121
      26.959      381.000     1237.449  1612047.125
      26.972      155.400     1237.449  1612047.125
      26.978      183.500     1237.449  1612047.117
      26.983      368.200     1237.449  1612047.109
      26.989      369.200     1237.574  1612047.109
      26.994      182.800     1237.574  1612047.117
      27.000      365.600     1237.699  1612047.117
      27.005      190.100     1237.699  1612047.117
      27.010      380.500     1237.699  1612047.117
      27.016      190.500     1237.699  1612047.121
      27.021      556.900     1237.824  1612047.113
      27.026      176.600     1237.195  1612047.117
      27.035      376.600     1237.570  1612047.117
      27.048      331.700     1237.570  1612047.113
      27.060      337.500     1237.570  1612047.105
      27.072      327.800     1237.570  1612047.105
      27.084      384.000     1237.945  1612047.117
      27.100      260.200     1238.070  1612047.121
      27.113      393.200     1238.195  1612047.129
      27.125      387.300     1238.195  1612047.113
      27.135      330.000     1238.195  1612047.105
      27.145      311.700     1238.320  1612047.113
      27.158      357.400     1236.336  1612047.105
      27.177      389.500     1236.836  1612047.117
      27.203      384.000     1236.961  1612047.117
      27.229      318.800     1237.461  1612047.117
      27.254      406.600     1237.586  1612047.105
      27.266      338.400     1238.383  1612047.324
      27.282      355.900     1239.039  1612047.320
      27.296      415.900     1239.297  1612047.277
      27.310      182.600     1239.422  1612047.281
      27.316      329.100     1239.422  1612047.270
      27.322      283.400     1239.422  1612047.270
      27.329      281.700     1239.422  1612047.277
      27.336      280.900     1239.672  1612047.297
      27.343      415.200     1239.672  1612047.285
