"col0","col1","col2"
"SimplCommerce.Module.ActivityLog.Events.EntityViewedHandler.Handle","SimplCommerce.Module.Core.Extensions.WorkContext.SetUserGuidCookies","Microsoft.AspNetCore.Http.IResponseCookies.Append"
"SimplCommerce.Module.ActivityLog.Events.EntityViewedHandler.Handle","SimplCommerce.Module.Core.Extensions.WorkContext.SetUserGuidCookies","System.DateTime.AddYears"
"SimplCommerce.Module.ActivityLog.Events.EntityViewedHandler.Handle","SimplCommerce.Module.Core.Extensions.WorkContext.GetUserGuidFromCookies","Microsoft.AspNetCore.Http.IRequestCookieCollection.ContainsKey"
"SimplCommerce.Module.ActivityLog.Events.EntityViewedHandler.Handle","SimplCommerce.Module.Core.Extensions.WorkContext.GetUserGuidFromCookies","System.Guid.Parse"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","System.Linq.Enumerable.Select<Int64,IList<BreadcrumbViewModel>>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","System.Linq.Enumerable.ToList<IList<BreadcrumbViewModel>>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","System.Linq.Enumerable.OrderByDescending<IList<BreadcrumbViewModel>,Int32>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","System.Linq.Enumerable.First<IList<BreadcrumbViewModel>>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","Microsoft.AspNetCore.Mvc.ViewComponent.View<IList<BreadcrumbViewModel>>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedProperty`1","System.Object.GetType"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Create","System.Linq.Queryable.FirstOrDefault<Category>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Create","SimplCommerce.Infrastructure.Data.IRepositoryWithTypedId<SimplCommerce.Module.Catalog.Models.Category,System.Int64>.Query"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Create","Microsoft.EntityFrameworkCore.EntityFrameworkQueryableExtensions.Include<Category,Category>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Create","System.Collections.Generic.List<SimplCommerce.Module.Core.Areas.Core.ViewModels.BreadcrumbViewModel>.Add"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Create","System.Collections.Generic.List<SimplCommerce.Module.Core.Areas.Core.ViewModels.BreadcrumbViewModel>.Insert"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","System.Object.GetType"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","System.String.IsNullOrWhiteSpace"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","System.String.Split"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","System.String.Equals"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","Microsoft.AspNetCore.Mvc.ViewEngines.IViewEngine.GetView"
