# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.110        0.000       61.703   267299.324
       0.113        0.000       61.703   267299.324
       0.116      318.300       61.703   267299.324
       0.119        0.000       61.703   267299.324
       0.122        0.000       61.703   267299.324
       0.126      313.300       61.703   267299.324
       0.129        0.000       61.703   267299.324
       0.132        0.000       61.703   267299.324
       0.135        0.000       61.703   267299.324
       0.138      319.300       61.703   267299.324
       0.141        0.000       61.703   267299.324
       0.145        0.000       61.703   267299.324
       0.148      316.600       61.703   267299.324
       0.151        0.000       61.703   267299.324
       0.155        0.000       61.703   267299.324
       0.158      294.200       61.703   267299.324
       0.161        0.000       61.703   267299.324
       0.166      315.600       61.703   267299.324
       0.169        0.000       61.703   267299.324
       0.172        0.000       61.703   267299.324
       0.177      219.200       61.703   267299.324
       0.182        0.000       62.488   267299.910
       0.187      207.100       63.172   267299.910
       0.192        0.000       63.297   267300.039
       0.196      229.100       63.297   267300.039
       0.201        0.000       63.422   267300.039
       0.205        0.000       63.422   267300.039
       0.208      316.700       63.672   267300.188
       0.211        0.000       63.672   267300.191
       0.214        0.000       63.672   267300.191
       0.217        0.000       63.672   267300.191
       0.220      320.100       63.672   267300.191
       0.224        0.000       63.672   267300.191
       0.227        0.000       63.797   267300.195
       0.230      318.400       64.047   267300.188
       0.233        0.000       64.047   267300.188
       0.236        0.000       64.047   267300.188
       0.239      308.600       64.047   267300.188
       0.243        0.000       64.047   267380.203
       0.246      496.300       65.844   267765.664
       0.250        0.000       66.219   267765.672
       0.253      314.000       67.703   267767.375
       0.257        0.000       70.883   267773.664
       0.260      240.200       71.395   267853.758
       0.264      194.900       74.379   267941.840
       0.269      169.700       76.059   267942.234
       0.275      176.100       77.395   268007.109
       0.281      435.100       78.328   268007.109
       0.285        0.000       78.578   268007.145
       0.289      191.200       79.270   268087.188
       0.294      172.400       80.898   268167.453
       0.300      481.500       82.879   268248.695
       0.306        0.000       83.004   268248.703
       0.309      405.500       83.004   268248.684
       0.314        0.000       83.379   268248.680
       0.320      166.300       84.008   268249.141
       0.326      395.000       86.461   268251.605
       0.331      246.000       86.828   268251.621
       0.335        0.000       87.203   268251.625
       0.340      206.400       87.703   268251.621
       0.345      186.700       88.203   268251.621
       0.350      185.500       88.328   268251.617
       0.356      162.300       89.262   268251.617
       0.362      163.200       90.477   268253.336
       0.368      167.400       91.125   268253.336
       0.374      184.400       91.750   268253.344
       0.379        0.000       92.375   268253.344
       0.382      311.800       93.250   268253.340
       0.386        0.000       93.750   268253.340
       0.389      319.300       95.180   268333.359
       0.392        0.000       95.922   268333.340
       0.395        0.000       96.691   268333.395
       0.398        0.000       97.691   268333.395
       0.401      314.700       98.316   268333.395
       0.405        0.000       98.441   268333.398
       0.408        0.000       99.762   268334.504
       0.411        0.000      100.871   268335.793
       0.414      300.300      100.434   268334.504
       0.418        0.000      100.434   268334.500
       0.421        0.000      100.559   268334.500
       0.424      316.800      100.809   268334.500
       0.427        0.000      101.090   268334.613
       0.430        0.000      101.859   268334.609
       0.433        0.000      102.234   268334.617
       0.437      315.700      102.859   268334.613
       0.440        0.000      103.234   268334.609
       0.443        0.000      103.359   268334.609
       0.446      319.700      103.734   268334.605
       0.449        0.000      104.234   268334.609
       0.452      309.000      104.859   268334.613
       0.456        0.000      104.984   268334.617
       0.459      311.200      105.242   268334.617
       0.462        0.000      105.367   268334.617
       0.465        0.000      105.492   268334.625
       0.468        0.000      105.742   268334.617
       0.472      212.700      106.492   268334.617
       0.477        0.000      106.992   268334.613
       0.480      316.000      107.242   268334.621
       0.483        0.000      107.617   268334.617
       0.486        0.000      107.992   268334.617
       0.489      311.900      108.117   268334.621
       0.493        0.000      108.617   268414.645
       0.496      224.400      108.992   268494.660
       0.501        0.000      109.367   268494.660
       0.505        0.000      110.648   268497.117
       0.508      299.300      112.031   268497.816
       0.511        0.000      114.020   268500.273
       0.514        0.000      114.426   268500.277
       0.517        0.000      114.551   268500.273
       0.521      317.500      114.676   268500.270
       0.524        0.000      114.676   268500.289
       0.527        0.000      114.926   268500.270
       0.530      575.900      115.301   268500.273
       0.534      275.500      115.801   268500.277
       0.537      210.000      116.301   268580.301
       0.542      166.600      117.234   268580.598
       0.548      336.300      117.984   268660.621
       0.554        0.000      134.426   268691.133
       0.560      154.600      146.598   539981.250
       0.567      161.000      156.797  1069601.891
       0.573      359.900      160.598  1069616.086
       0.578      183.900      161.277  1069616.164
       0.584      519.200      164.895  1069704.570
       0.590      159.900      170.336  1069786.543
       0.596      156.300      182.094  1069888.238
       0.602      472.500      196.516  1069893.766
       0.609      466.900      209.523  1069939.500
       0.615        0.000      214.195  1069974.348
       0.621      519.200      219.770  1070011.090
       0.627      157.400      224.273  1070013.742
       0.633      458.600      228.645  1070096.645
       0.640      150.900      231.980  1070178.082
       0.646      492.000      234.883  1070178.488
       0.652        0.000      237.605  1070179.820
       0.659      183.600      239.090  1070196.535
       0.664      565.900      240.617  1070260.562
       0.669      181.500      242.281  1070260.699
       0.675      153.600      245.125  1070260.957
       0.682      449.600      247.965  1070261.215
       0.688      461.100      249.594  1070261.402
       0.695      162.000      251.070  1070262.660
       0.701      325.200      252.082  1070262.660
       0.707      310.000      254.816  1070263.059
       0.713      144.900      256.812  1070424.133
       0.720      419.400      259.711  1070585.727
       0.728      291.600      263.043  1070586.996
       0.734      455.400      266.512  1070590.473
       0.741        0.000      267.484  1070589.316
       0.748      665.000      268.848  1070733.609
       0.755       93.900      271.301  1070957.922
       0.765      614.100      273.355  1070958.859
       0.772        0.000      275.031  1071198.957
       0.781      214.400      278.723  1071441.426
       0.788      319.200      279.918  1071442.793
       0.794      604.300      282.137  1071540.371
       0.801      398.200      286.637  1071673.000
       0.808      331.800      289.305  1071674.539
       0.814        0.000      290.879  1071675.000
