# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
     200.307      131.700     3103.027  1079825.453
     200.314      259.800     3103.027  1079825.453
     200.322      396.900     3103.027  1079825.453
     200.330      132.800     3103.027  1079825.453
     200.337      272.400     3103.027  1079825.453
     200.344      160.400     3103.027  1079825.453
     200.351      389.100     3103.027  1079825.453
     200.358      132.600     3103.027  1079825.453
     200.366      259.000     3103.027  1079825.453
     200.374      257.200     3109.027  1079825.453
     200.381      376.500     3109.027  1079825.453
     200.389      129.300     3113.074  1079825.453
     200.397      255.800     3123.074  1079825.453
     200.405      122.500     3123.074  1079825.453
     200.413      249.900     3123.074  1079825.453
     200.421      125.600     3127.074  1079825.453
     200.429      253.100     3127.074  1079825.453
     200.437      134.300     3127.074  1079825.453
     200.444      314.700     3127.074  1079825.453
     200.451        0.000     3127.074  1079825.453
     200.456      174.500     2999.117  1079825.453
     200.462        0.000     2996.617  1079825.453
     200.469      310.500     2868.656  1079825.453
     200.475      133.900     2866.156  1079825.453
     200.482      163.500     2860.156  1079825.453
     200.489      402.000     2784.559  1079825.453
     200.496      260.600     2737.441  1079825.453
     200.504      169.000     2743.441  1079825.453
     200.510      154.900     2706.527  1079825.453
     200.516      386.200     2640.941  1079825.453
     200.524      294.300     2616.605  1079825.453
     200.531      178.100     2616.605  1079825.453
     200.536      273.400     2552.863  1079825.453
     200.544      253.900     2497.688  1079825.453
     200.551      159.200     2490.391  1079825.453
     200.558      275.100     2480.141  1079825.453
     200.565      146.100     2449.414  1079825.453
     200.572      143.600     2451.414  1079825.453
     200.579      171.000     2453.414  1079825.453
     200.585      339.000     2453.414  1079825.453
     200.591      177.800     2455.414  1079825.453
     200.596      178.600     2459.414  1079825.453
     200.602      179.600     2459.414  1079825.453
     200.607        0.000     2461.414  1079825.453
     200.613      178.200     2461.414  1079825.453
     200.618      182.200     2461.414  1079825.453
     200.624        0.000     2461.414  1079825.453
     200.630      150.300     2461.414  1079825.453
     200.636      176.200     2461.414  1079825.453
     200.642        0.000     2461.414  1079825.453
     200.648      178.800     2463.414  1079825.453
     200.654      155.200     2465.414  1079825.453
     200.660        0.000     2465.414  1079825.453
     200.668      147.400     2477.414  1079825.453
     200.674      175.000     2477.414  1079825.453
     200.680      359.600     2477.414  1079825.453
     200.686        0.000     2477.414  1079825.453
     200.691      340.600     2477.414  1079825.453
     200.697      326.400     2477.414  1079825.453
     200.703      130.100     2481.414  1079825.453
     200.711      171.000     2481.414  1079825.453
     200.717      178.700     2481.414  1079825.453
     200.722      157.300     2481.414  1079825.453
     200.729      169.200     2481.414  1079825.453
     200.735      173.500     2481.414  1079825.453
     200.740        0.000     2481.414  1079825.453
     200.746      182.100     2481.414  1079825.453
     200.752        0.000     2481.414  1079825.453
     200.757      179.600     2481.414  1079825.453
     200.763      356.300     2481.414  1079825.453
     200.769      182.500     2481.414  1079825.453
     200.774      135.500     2481.414  1079825.453
     200.782      348.400     2481.414  1079825.453
     200.790      225.800     2481.414  1079825.453
     200.799      258.600     2481.414  1079825.453
     200.807      326.200     2481.414  1079825.453
     200.813      170.100     2481.414  1079825.453
     200.819      181.700     2481.414  1079825.453
     200.824      182.600     2481.414  1079825.453
     200.830      182.600     2481.414  1079825.453
     200.835      169.400     2481.414  1079825.453
     200.841      182.000     2481.414  1079825.453
     200.847        0.000     2481.414  1079825.453
     200.852      316.400     2481.414  1079825.453
     200.862      292.700     2481.414  1079825.453
     200.872      219.200     2481.414  1079825.453
     200.881      341.000     2481.414  1079825.453
     200.890      229.400     2487.414  1079825.453
     200.898      322.800     2487.414  1079825.453
     200.908      403.900     2487.414  1079825.453
     200.918      304.200     2487.414  1079825.453
     200.928      124.500     2487.414  1079825.453
     200.936      210.800     2491.438  1079825.453
     200.945      312.500     2491.438  1079825.453
     200.955      112.800     2491.438  1079825.453
     200.964      228.300     2491.438  1079825.453
     200.972      126.900     2491.438  1079825.453
     200.980        0.000     2491.438  1079825.453
     200.987      270.300     2491.438  1079825.453
     200.994      213.000     2491.438  1079825.453
     201.004      312.200     2491.438  1079825.453
     201.010      183.200     2491.438  1079825.453
     201.016      229.300     2499.438  1079825.453
     201.024      323.700     2499.438  1079825.453
     201.030      174.600     2499.438  1079825.453
     201.036      156.900     2499.438  1079825.453
     201.043      301.200     2499.438  1079825.453
     201.053      149.900     2499.438  1079825.453
     201.059      225.300     2503.438  1079825.453
     201.068      311.300     2505.438  1079825.453
     201.078      235.000     2505.438  1079825.453
     201.086      260.100     2509.438  1079825.453
     201.094      174.500     2509.438  1079825.453
     201.100        0.000     2509.438  1079825.453
     201.106      172.100     2509.438  1079825.453
     201.112      179.700     2509.438  1079825.453
     201.117      179.700     2509.438  1079825.453
     201.123        0.000     2509.438  1079825.453
     201.129      245.700     2511.438  1079825.453
     201.137      176.400     2511.438  1079825.453
     201.143        0.000     2513.438  1079825.453
     201.148      182.200     2513.438  1079825.453
     201.154        0.000     2513.438  1079825.453
     201.159      244.200     2513.438  1079825.453
     201.167      333.200     2515.438  1079825.453
     201.176      170.800     2515.438  1079825.453
     201.182      182.600     2515.438  1079825.453
     201.188      258.000     2523.438  1079825.453
     201.195      282.200     2523.438  1079825.453
     201.202      144.500     2523.438  1079825.453
     201.209      162.600     2525.438  1079825.453
     201.216        0.000     2527.438  1079825.453
     201.221      184.700     2527.438  1079825.453
     201.227      169.800     2527.438  1079825.453
     201.232        0.000     2527.438  1079825.453
     201.238      172.000     2529.438  1079825.453
     201.244      180.100     2533.438  1079825.453
     201.250        0.000     2535.438  1079825.453
     201.255      173.300     2539.438  1079825.453
     201.261      163.600     2539.438  1079825.453
     201.267        0.000     2539.438  1079825.453
     201.273      179.200     2547.438  1079825.453
     201.278        0.000     2547.438  1079825.453
     201.284      179.700     2547.438  1079825.453
     201.290      180.900     2547.438  1079825.453
     201.296      185.900     2547.438  1079825.453
     201.301      368.700     2547.438  1079825.453
     201.306      179.300     2547.438  1079825.453
     201.312      158.200     2547.438  1079825.453
     201.318      230.300     2547.438  1079825.453
     201.327      426.000     2551.438  1079825.453
     201.336      273.800     2551.438  1079825.453
     201.344      277.500     2551.438  1079825.453
     201.351      208.000     2551.438  1079825.453
     201.360      333.500     2551.438  1079825.453
     201.369      336.600     2551.438  1079825.453
     201.378      232.900     2551.438  1079825.453
     201.387      353.900     2551.438  1079825.453
     201.395      326.500     2551.438  1079825.453
     201.405      232.200     2557.438  1079825.453
     201.413      291.700     2557.438  1079825.453
     201.424      344.100     2557.438  1079825.453
     201.432      234.500     2557.438  1079825.453
     201.441      336.000     2557.438  1079825.453
     201.450      331.100     2557.438  1079825.453
     201.459      235.900     2557.438  1079825.453
     201.467      374.900     2557.438  1079825.453
     201.475      260.200     2557.438  1079825.453
     201.483      240.500     2557.438  1079825.453
     201.491      238.200     2557.438  1079825.453
     201.500      346.500     2560.094  1079825.453
     201.508      241.400     2565.094  1079825.453
     201.517      347.000     2565.094  1079825.453
     201.525      209.300     2565.094  1079825.453
     201.535      268.700     2579.094  1079825.453
     201.546      224.600     2579.094  1079825.453
     201.555      231.700     2579.094  1079825.453
     201.563      231.200     2579.094  1079825.453
     201.572      240.100     2581.094  1079825.453
     201.580      120.100     2581.094  1079825.453
     201.589      242.300     2581.094  1079825.453
     201.597      244.300     2581.094  1079825.453
     201.605      121.100     2581.094  1079825.453
     201.614      364.000     2583.094  1079825.453
     201.622      242.800     2583.094  1079825.453
     201.630      353.800     2583.094  1079825.453
     201.638      243.000     2583.094  1079825.453
     201.647      358.800     2583.094  1079825.453
