# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
      83.550      374.500     1716.062  1344640.641
      83.569      383.600     1716.062  1344640.648
      83.587      375.900     1716.062  1344640.652
      83.606      285.000     1716.062  1344640.652
      83.620      324.000     1716.062  1344640.656
      83.632      325.000     1716.062  1344640.652
      83.650      399.000     1716.062  1344640.652
      83.670      373.700     1716.062  1344640.648
      83.688      329.800     1716.062  1344640.652
      83.709      338.200     1716.062  1344640.652
      83.733      299.500     1716.062  1344640.652
      83.753      314.200     1716.062  1344640.652
      83.772      373.100     1716.062  1344640.652
      83.791      329.300     1716.062  1344640.656
      83.803      408.200     1716.062  1344640.656
      83.818      360.400     1716.062  1344640.648
      83.832      325.200     1716.062  1344640.648
      83.850      391.900     1716.188  1344640.652
      83.876      324.800     1716.188  1344640.645
      83.894      381.500     1716.188  1344640.645
      83.915      360.800     1716.188  1344640.648
      83.940      365.800     1716.188  1344640.648
      83.959      314.400     1716.188  1344640.648
      83.972      312.600     1716.188  1344640.648
      83.985      379.200     1716.188  1344640.648
      83.997      379.700     1716.188  1344640.648
      84.013      315.700     1716.188  1344640.648
      84.026      393.700     1716.188  1344640.652
      84.045      365.400     1716.188  1344640.652
      84.063      373.100     1716.188  1344640.652
      84.082      315.200     1716.188  1344640.652
      84.098      322.300     1716.188  1344640.652
      84.110      384.300     1716.188  1344640.648
      84.126      332.900     1716.188  1344640.648
      84.141      402.400     1716.312  1344640.641
      84.166      363.600     1716.312  1344640.641
      84.185      313.400     1716.312  1344640.652
      84.211      403.500     1716.438  1344640.652
      84.229      316.900     1716.438  1344640.648
      84.248      407.800     1716.438  1344640.645
      84.273      302.700     1716.438  1344640.648
      84.289      373.400     1716.566  1344640.652
      84.308      403.600     1716.566  1344640.645
      84.333      324.800     1716.566  1344640.648
      84.351      371.600     1716.566  1344640.652
      84.370      343.100     1716.566  1344640.652
      84.391      402.100     1716.566  1344640.652
      84.410      328.700     1716.566  1344640.652
      84.423      344.100     1716.566  1344640.648
      84.437      287.000     1716.566  1344640.648
      84.448      372.500     1716.566  1344640.652
      84.466      306.400     1716.566  1344640.652
      84.476      367.000     1716.566  1344640.652
      84.495      372.800     1716.566  1344640.652
      84.514      378.000     1716.566  1344640.656
      84.538      361.500     1716.699  1344640.656
      84.557      370.600     1716.699  1344640.641
      84.576      362.400     1716.699  1344640.648
      84.601      374.300     1716.699  1344640.648
      84.614      342.300     1716.699  1344640.648
      84.635      339.000     1716.699  1344640.652
      84.652      385.800     1716.699  1344640.652
      84.668      324.100     1716.824  1344640.656
      84.680      382.800     1716.824  1344640.656
      84.696      313.400     1716.824  1344640.652
      84.709      389.600     1716.824  1344640.652
      84.724      316.600     1716.824  1344640.652
      84.737      358.400     1716.824  1344640.652
      84.759      348.000     1716.824  1344640.652
      84.776      323.200     1716.824  1344640.652
      84.795      355.900     1716.824  1344640.652
      84.821      324.200     1716.824  1344640.652
      84.839      371.500     1716.824  1344640.652
      84.858      377.500     1716.824  1344640.652
      84.877      326.500     1716.824  1344640.652
      84.895      394.200     1716.824  1344640.652
      84.908      321.900     1716.824  1344640.652
      84.920      335.600     1716.824  1344640.652
      84.935      318.200     1716.824  1344640.652
      84.947      403.900     1716.824  1344640.652
      84.959      363.600     1716.824  1344640.652
      84.973      272.300     1716.824  1344640.656
      84.984      353.700     1716.824  1344640.656
      85.001      410.600     1716.824  1344640.645
      85.023      312.500     1716.824  1344640.645
      85.042      367.500     1716.824  1344640.648
      85.061      376.200     1716.949  1344640.652
      85.082      354.000     1716.949  1344640.641
      85.099      405.600     1716.949  1344640.645
      85.119      385.300     1716.949  1344640.645
      85.135      369.500     1716.949  1344640.648
      85.148      343.900     1716.949  1344640.652
      85.163      355.700     1716.949  1344640.652
      85.174      352.500     1716.949  1344640.652
      85.188      327.900     1716.949  1344640.652
      85.197      370.100     1716.949  1344640.652
      85.219      331.200     1716.949  1344640.652
      85.234      369.400     1716.949  1344640.652
      85.250      344.300     1716.949  1344640.652
      85.265      319.500     1716.949  1344640.652
      85.277      396.000     1716.949  1344640.652
      85.290      288.900     1716.949  1344640.652
      85.300      383.300     1716.949  1344640.652
      85.319      372.600     1716.949  1344640.652
      85.332      313.400     1716.949  1344640.652
      85.348      395.500     1716.949  1344640.652
      85.366      365.500     1717.074  1344640.652
      85.390      371.800     1717.074  1344640.652
      85.409      371.800     1717.074  1344640.652
      85.428      342.700     1717.074  1344640.648
      85.454      397.700     1717.074  1344640.648
      85.472      347.800     1717.074  1344640.652
      85.495      329.900     1717.074  1344640.652
      85.501      178.600     1717.074  1344640.652
      85.506      356.500     1717.074  1344640.652
      85.512      355.800     1717.074  1344640.652
      85.518      180.900     1717.074  1344640.652
      85.523      372.800     1717.074  1344640.652
      85.529      361.000     1717.074  1344640.652
      85.534      367.500     1717.074  1344640.652
      85.540      219.000     1717.074  1344640.652
      85.549      397.900     1717.074  1344640.645
      85.561      319.500     1717.074  1344640.648
      85.577      314.700     1717.074  1344640.648
      85.590      379.900     1717.074  1344640.652
      85.602      339.500     1717.074  1344640.652
      85.620      385.700     1717.074  1344640.648
      85.638      351.400     1717.074  1344640.648
      85.655      367.700     1717.074  1344640.648
      85.669      285.700     1717.074  1344640.648
      85.676      401.200     1717.699  1344640.648
      85.693      371.400     1718.574  1344640.645
      85.712      360.400     1719.699  1344640.645
      85.737      328.600     1719.949  1344640.645
      85.755      343.400     1720.199  1344640.645
